user_id,clip_duration,media_platform,age_new,day,tt,ad_complete,ad_brand_cat,genre_new,gender_new,l_ad_stop,u_ad_stop
241,66,MOBILE WEB,40,Sat,13,1,drink,sports,Male,11.25,15
242,160,MOBILE WEB,20,Tue,22,0,drink,music,Male,7.5,11.25
243,175,PC WEB,50,Mon,19,0,pet,drama,Female,3.75,7.5
244,72,PC WEB,40,Mon,9,0,drink,sports,Male,3.75,7.5
245,99,MOBILE WEB,30,Thu,12,0,drink,sports,Male,3.75,7.5
246,201,MOBILE WEB,30,Tue,18,0,government,entertainment,Female,11.25,15
247,122,MOBILE WEB,40,Mon,9,0,movie,entertainment,Female,7.5,11.25
248,200,MOBILE WEB,20,Wed,22,0,drink,entertainment,Female,3.75,7.5
249,157,MOBILE APP,10,Wed,0,0,government,entertainment,Female,3.75,7.5
250,302,MOBILE WEB,20,Tue,7,0,education,drama,Female,7.5,11.25
251,196,MOBILE WEB,20,Tue,20,0,food,entertainment,Female,3.75,7.5
252,158,MOBILE WEB,30,Fri,3,0,food,entertainment,Male,3.75,7.5
253,101,MOBILE WEB,30,Mon,3,0,movie,entertainment,Female,7.5,11.25
254,152,MOBILE WEB,40,Fri,7,0,man,entertainment,Male,3.75,7.5
255,73,MOBILE WEB,30,Tue,7,0,pet,entertainment,Female,11.25,15
256,93,PC WEB,40,Wed,15,1,drink,sports,Male,11.25,15
257,172,MOBILE WEB,20,Wed,22,0,electronics,entertainment,Female,3.75,7.5
258,65,MOBILE WEB,40,Tue,11,0,food,sports,Male,3.75,7.5
259,112,MOBILE WEB,30,Sun,21,1,health_food,drama,Female,11.25,15
260,121,MOBILE WEB,40,Sun,15,0,corporation,sports,Male,0,3.75
261,104,MOBILE WEB,20,Thu,17,0,woman,drama,Female,3.75,7.5
262,237,MOBILE WEB,30,Sat,16,1,drink,sports,Male,11.25,15
263,165,MOBILE WEB,40,Sun,13,0,health_food,entertainment,Male,11.25,15
264,170,MOBILE WEB,40,Sat,10,0,food,entertainment,Female,3.75,7.5
265,72,MOBILE WEB,30,Wed,11,1,drink,sports,Male,11.25,15
266,146,PC WEB,30,Thu,18,0,health_food,drama,Female,3.75,7.5
267,70,MOBILE WEB,40,Mon,0,0,movie,drama,Female,3.75,7.5
268,172,MOBILE WEB,40,Fri,7,0,food,drama,Male,3.75,7.5
269,99,MOBILE WEB,30,Wed,11,0,corporation,entertainment,Female,3.75,7.5
270,105,MOBILE WEB,20,Tue,0,1,health_food,entertainment,Female,11.25,15
271,108,MOBILE WEB,40,Sat,13,0,electronics,entertainment,Male,3.75,7.5
272,220,MOBILE WEB,30,Wed,0,0,education,drama,Female,7.5,11.25
273,209,MOBILE APP,10,Sat,23,0,movie,music,Female,3.75,7.5
274,71,MOBILE WEB,20,Mon,0,0,food,drama,Female,7.5,11.25
275,164,MOBILE WEB,50,Mon,19,0,drink,drama,Female,3.75,7.5
276,192,MOBILE APP,20,Sat,12,0,corporation,entertainment,Female,3.75,7.5
277,125,MOBILE WEB,20,Fri,0,0,drink,entertainment,Male,3.75,7.5
278,79,MOBILE WEB,30,Sun,6,0,drink,sports,Male,7.5,11.25
279,67,MOBILE WEB,40,Sun,14,0,drink,sports,Male,3.75,7.5
280,94,MOBILE WEB,40,Fri,18,0,drink,drama,Female,7.5,11.25
281,218,MOBILE WEB,20,Tue,21,0,drink,sports,Male,3.75,7.5
282,236,MOBILE WEB,40,Wed,7,0,drink,entertainment,Female,0,3.75
283,142,MOBILE WEB,30,Wed,17,1,government,entertainment,Female,11.25,15
284,67,MOBILE WEB,30,Tue,13,1,corporation,sports,Male,11.25,15
285,123,MOBILE WEB,40,Mon,22,0,food,entertainment,Female,3.75,7.5
286,95,MOBILE WEB,30,Sun,9,0,education,drama,Female,3.75,7.5
287,72,MOBILE WEB,30,Wed,12,0,corporation,sports,Male,7.5,11.25
288,66,PC WEB,40,Mon,12,0,drink,sports,Male,3.75,7.5
289,132,MOBILE WEB,30,Sat,9,0,health_food,entertainment,Female,7.5,11.25
290,79,MOBILE WEB,60,Sun,14,0,drink,sports,Male,0,3.75
291,173,MOBILE WEB,40,Mon,0,0,food,entertainment,Female,3.75,7.5
